relationship_family,paper_n,analysis_stage,share
General allometry,485,candidate_exploratory,0.30274656679151063
Height-diameter,398,candidate_exploratory,0.2484394506866417
DBH-biomass,332,candidate_exploratory,0.20724094881398253
Root-shoot allocation,107,candidate_exploratory,0.06679151061173533
General power-law allometry,93,candidate_exploratory,0.05805243445692884
Leaf mass-area (LMA/SLA),49,candidate_exploratory,0.03058676654182272
Metabolic scaling,39,candidate_exploratory,0.024344569288389514
Hydraulic/conduit allometry,32,candidate_exploratory,0.019975031210986267
Self-thinning density-biomass,32,candidate_exploratory,0.019975031210986267
Pipe-model sapwood-leaf,24,candidate_exploratory,0.0149812734082397
Corner rules twig-leaf,11,candidate_exploratory,0.00686641697877653
